;20;15
2,0;0,52666666666666662;0,51333333333333331
3,0;0,50666666666666671;0,52000000000000002
4,0;0,52666666666666662;0,52000000000000002
5,0;0,47333333333333333;0,50666666666666671
6,0;0,47333333333333333;0,48666666666666669
7,0;0,46666666666666667;0,52000000000000002
8,0;0,50666666666666671;0,49333333333333335
9,0;0,52000000000000002;0,51333333333333331
10,0;0,57999999999999996;0,56666666666666665
11,0;0,57333333333333336;0,55333333333333334
12,0;0,56666666666666665;0,56000000000000005
13,0;0,57333333333333336;0,54000000000000004
14,0;0,56666666666666665;0,52000000000000002
15,0;0,53333333333333333;0,50666666666666671
