;20;15;10
2,0;0,48666666666666669;0,50666666666666671;0,48666666666666669
3,0;0,52000000000000002;0,55333333333333334;0,5
4,0;0,54000000000000004;0,49333333333333335;0,55333333333333334
5,0;0,50666666666666671;0,54000000000000004;0,55333333333333334
6,0;0,47999999999999998;0,51333333333333331;0,54666666666666663
7,0;0,48666666666666669;0,50666666666666671;0,53333333333333333
8,0;0,48666666666666669;0,5;0,53333333333333333
9,0;0,58666666666666667;0,57333333333333336;0,54666666666666663
10,0;0,56000000000000005;0,62;0,62
11,0;0,60666666666666669;0,59333333333333338;0,59333333333333338
12,0;0,62666666666666671;0,61333333333333329;0,61333333333333329
13,0;0,57999999999999996;0,64666666666666661;0,59999999999999998
14,0;0,57333333333333336;0,64000000000000001;0,61333333333333329
15,0;0,61333333333333329;0,58666666666666667;0,62
